"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NEPSE","2023-05-08","1850.73","1854.21","1825.61","1833.69","-0.91 %","824,217,001.85","-"
"NEPSE","2023-05-09","1831.64","1856.07","1828.99","1844.36","0.58 %","774,760,647.07","-"
"NEPSE","2023-05-10","1845.64","1852.05","1835.61","1841.93","-0.13 %","589,100,077.12","-"
"NEPSE","2023-05-11","1840.05","1843.44","1831.2","1838.59","-0.18 %","578,841,593.52","-"
"NEPSE","2023-05-14","1840.82","1849.56","1818.08","1821.64","-0.92 %","900,563,856.25","-"
"NEPSE","2023-05-15","1821.81","1826.65","1807.53","1818.31","-0.18 %","724,969,980.40","-"
"NEPSE","2023-05-16","1817.87","1827.77","1810.1","1821.6","0.18 %","640,117,260.52","-"
"NEPSE","2023-05-17","1821.54","1846.72","1821.02","1845.01","1.28 %","857,624,318.46","-"
"NEPSE","2023-05-18","1846.69","1883.2","1844.5","1877.32","1.75 %","1,474,765,388.21","-"
"NEPSE","2023-05-21","1878.68","1903.06","1874.4","1883.2","0.31 %","1,600,492,731.53","-"
"NEPSE","2023-05-22","1883.45","1898.91","1866.08","1891.31","0.43 %","1,278,704,726.38","-"
"NEPSE","2023-05-23","1891.37","1942.64","1891.37","1942.63","2.71 %","2,200,023,945.87","-"
"NEPSE","2023-05-24","1943.81","1962.66","1928.16","1959.12","0.85 %","1,873,018,024.09","-"
"NEPSE","2023-05-28","1960.95","1977.57","1938.12","1941.74","-0.89 %","2,639,659,499.70","-"
"NEPSE","2023-05-30","1944.03","1944.06","1884.91","1888.61","-2.74 %","2,341,777,844.61","-"
"NEPSE","2023-05-31","1884.49","1893.84","1844.32","1849.79","-2.06 %","2,315,169,571.94","-"
"NEPSE","2023-06-01","1850.79","1877","1837.24","1866.34","0.89 %","1,654,648,922.34","-"
"NEPSE","2023-06-04","1866.35","1925.11","1865.73","1919.37","2.84 %","1,656,340,391.57","-"
"NEPSE","2023-06-05","1922.13","1935.8","1899.54","1901.99","-0.91 %","1,973,491,107.31","-"
"NEPSE","2023-06-06","1902.75","1927.66","1893.61","1927.65","1.35 %","1,981,012,701.99","-"
"NEPSE","2023-06-07","1929.16","1950.81","1928.13","1932.33","0.24 %","2,368,815,635.92","-"
"NEPSE","2023-06-08","1933.4","1947.45","1920.65","1939.61","0.38 %","2,305,888,931.72","-"
"NEPSE","2023-06-11","1941.52","1983.98","1941.24","1980.09","2.09 %","3,454,344,563.91","-"
"NEPSE","2023-06-12","1984.3638","2003.25","1972","1987.87","0.39 %","2,886,509,415.69","-"
"NEPSE","2023-06-13","1989.43","2034.8","1977.52","2020.64","1.72 %","4,126,695,943.97","-"
"NEPSE","2023-06-14","2020.15","2067.1","2015.19","2037.06","0.81 %","5,017,807,682.80","-"
"NEPSE","2023-06-15","2040.58","2050.03","2017.7","2042.07","0.25 %","3,162,810,843.58","-"
"NEPSE","2023-06-18","2045.06","2094.33","2037.9","2094.33","2.56 %","4,869,184,016.02","-"
"NEPSE","2023-06-19","2097.53","2107.6","2075.21","2091.39","-0.14 %","4,740,608,880.28","-"
"NEPSE","2023-06-20","2093.56","2117.3","2057.03","2064.83","-1.27 %","4,110,606,953.97","-"
"NEPSE","2023-06-21","2067.21","2082.97","2043.84","2050.78","-0.68 %","3,496,822,260.78","-"
"NEPSE","2023-06-22","2054.62","2074.38","2042.28","2055.53","0.23 %","3,444,862,501.60","-"
"NEPSE","2023-06-25","2057.37","2119.8","2057.37","2117.73","3.03 %","6,490,412,665.89","-"
"NEPSE","2023-06-26","2124.01","2154.86","2120.42","2129.42","0.55 %","5,312,422,087.27","-"
"NEPSE","2023-06-27","2132.61","2186.68","2132.48","2186.36","2.67 %","5,476,287,740.48","-"
